

| 序号 | 单词 | 词性 | 释义 |
|---:|---|---|---|
| 1 | access | n. | 接近；通道，入口；接近的机会 vt. 存取 |
| 2 | project | v. | 伸出； 投射； 预计 n. 方案， 计划； 课题， 项目； 工程 |
| 3 | intention | n. | 意图， 意向， 目的 |
| 4 | equivalence | n. | 等值，相等 |
| 5 | negotiate | v. | 洽谈， 协商； 顺利通过， 成功越过； 协商， 谈判 |
| 6 | disappointing | adj. | 令人失望的 |
| 7 | alternative | adj. | 两者选一的， 供选择的； 另类的 n. 替换物，选择；选择的自由 |
| 8 | generous | adj. | 慷慨的； 宽厚的； 大量的 |
| 9 | biological | adj. | 生物的 |
| 10 | strategy | n. | 战略， 策略 |
| 11 | paradox | n. | 悖论；自相矛盾 |
| 12 | primary | adj. | 首要的， 主要的； 基本的； 最初的， 初级的 |
| 13 | standpoint | n. | 立场， 观点 |
| 14 | grab | v. | 抓取，攫取；赶紧做；抓住；抓，夺 n. 抓， 夺 |
| 15 | crucial | adj. | 至关重要的， 决定性的 |
| 16 | flaw | n. | 缺点；错误 |
| 17 | depressed | adj. | 萧条的；沮丧的 |
| 18 | obstacle | n. | 障碍， 障碍物， 妨碍 |
| 19 | automatic | adj. | 自动的，机械的；不假思索的，无意识的；必然的，自然的 n. 自动手枪； 有自动装置的汽车 |
| 20 | passionate | adj. | 热情的 |
| 21 | gambling | n. | 赌博 |
| 22 | logic | n. | 逻辑， 推理， 逻辑学 |
| 23 | theory | n. | 理论， 原理； 学说； 意见， 看法 |
| 24 | download | v. | 下载 |
| 25 | signal | adj. | 显著的， 重大的 n. 信号，暗号；标志，表示 vt. 发信号；标志着 |
| 26 | authoritative | adj. | 权威的 |
| 27 | smooth | adj. | 光滑的 |
| 28 | institution | n. | 社会公共机构；制度；设立，制定 |
| 29 | vehicle | n. | 车辆， 机动车； 传播媒介， 工具， 手段 |
| 30 | plague | v. | 使困扰 |
| 31 | psychological | adj. | 心理的，心理学的 |
| 32 | shade | n. | 荫；遮光物 v. 荫蔽 |
| 33 | persistent | adj. | 坚持的， 不屈不挠的； 持续不断的； 反复出现的 |
| 34 | voluntary | adj. | 自愿的， 志愿的 |
| 35 | tolerance | n. | 忍受， 容忍， 忍耐力； 公差 |
| 36 | senior | adj. | 资格较老的，地位较高的；年长的 n. 较年长者； 毕业班学生 |
| 37 | individual | adj. | 个别的；独特的 n. 个人， 个体 |
| 38 | contemporary | adj. | 当代的；同时代的 n. 同代人， 当代人 |
| 39 | opposite | adj. | 对面的 n. 对立物 |
| 40 | specialize | vi. | 成为…专家； 专攻 |
| 41 | content | adj. | 满意的，满足的 |
| 42 | philosopher | n. | 哲学家， 哲人 |
| 43 | unrest | n. | 不安定，动荡 |
| 44 | startle | v. | 吃惊 |
| 45 | emission | n. | 排放，辐射 |
| 46 | overweight | adj. | 超重的 |
| 47 | occupation | n. | 占领， 占据； 职业； 从事的活动， 消遣 |
| 48 | mainstream | n. | 主流 |
| 49 | scholarship | n. | 奖学金； 学问， 学识 |
| 50 | contract | v. | 缩小； 订合同； 感染， 染上 n. 契约， 合同 |
| 51 | cheek | n. | 面颊，脸蛋 |
| 52 | interdependence | n. | 相互依靠 |
| 53 | import | vt. | 输入， 进口 n. 输入， 进口； 进口商品； 意义， 重要性 |
| 54 | fiction | n. | 小说，虚构的文学作品 |
| 55 | upbringing | n. | 养育，培养，教养 |
| 56 | preserve | vt. | 保护， 维持； 保存； 腌制 |
| 57 | vitally | adv. | 极其重要地 |
| 58 | masculine | adj. | 男性的 |
| 59 | advocate | vt. | 拥护， 提倡， 主张 n. 拥护者， 提倡者； 辩护者， 律师 |
| 60 | dust | n. | 尘土，灰尘 |
| 61 | track | n. | 足迹 v. 追踪，〔循着踪迹、气味等〕找寻 |
| 62 | confidence | n. | 信任， 信赖； 信心， 自信 |
| 63 | riotous | adj. | 狂暴的 |
| 64 | sophisticated | adj. | 老于世故的； 高级的； 精密的， 复杂的； 高雅的 |
| 65 | similar | adj. | 相似的， 类似的 |
| 66 | transform | vt. | 使改观， 改革； 变换， 把…转换成 |
| 67 | approve | vt. | 赞成， 称许； 批准 |
| 68 | session | n. | 会议， 一届会期； 集会 |
| 69 | awareness | n. | 意识 |
| 70 | exhaust | vt. | 使筋疲力尽；用尽；详尽论述 n. 排气装置； 废气 |
| 71 | subsidize | v. | 提供补贴 |
